	subject	mask_name	condition	score	chance_score
124	8	lofc	pre_age	0.515625	0.5
125	8	lofc	pre_category	0.484375	0.5
126	8	lofc	current_age	0.4375	0.5
127	8	lofc	current_category	0.640625	0.5
128	8	hp	pre_age	0.625	0.5
129	8	hp	pre_category	0.53125	0.5
130	8	hp	current_age	0.53125	0.5
131	8	hp	current_category	0.703125	0.5
132	8	dlPFC	pre_age	0.390625	0.5
133	8	dlPFC	pre_category	0.4375	0.5
134	8	dlPFC	current_age	0.578125	0.5
135	8	dlPFC	current_category	0.640625	0.5
136	8	FFA/PPA	pre_age	0.5	0.5
137	8	FFA/PPA	pre_category	0.53125	0.5
138	8	FFA/PPA	current_age	0.625	0.5
139	8	FFA/PPA	current_category	0.890625	0.5
140	9	mofc	pre_age	0.5625	0.5
141	9	mofc	pre_category	0.4375	0.5
142	9	mofc	current_age	0.484375	0.5
143	9	mofc	current_category	0.4375	0.5
144	9	lofc	pre_age	0.546875	0.5
145	9	lofc	pre_category	0.578125	0.5
146	9	lofc	current_age	0.484375	0.5
147	9	lofc	current_category	0.65625	0.5
148	9	hp	pre_age	0.5	0.5
149	9	hp	pre_category	0.453125	0.5
150	9	hp	current_age	0.5	0.5
151	9	hp	current_category	0.65625	0.5
152	9	dlPFC	pre_age	0.484375	0.5
153	9	dlPFC	pre_category	0.5	0.5
154	9	dlPFC	current_age	0.515625	0.5
155	9	dlPFC	current_category	0.703125	0.5
156	9	FFA/PPA	pre_age	0.546875	0.5
157	9	FFA/PPA	pre_category	0.609375	0.5
158	9	FFA/PPA	current_age	0.5	0.5
159	9	FFA/PPA	current_category	0.890625	0.5
160	10	mofc	pre_age	0.421875	0.5
161	10	mofc	pre_category	0.5	0.5
162	10	mofc	current_age	0.453125	0.5
163	10	mofc	current_category	0.5	0.5
164	10	lofc	pre_age	0.46875	0.5
165	10	lofc	pre_category	0.53125	0.5
166	10	lofc	current_age	0.5	0.5
167	10	lofc	current_category	0.421875	0.5
168	10	hp	pre_age	0.359375	0.5
169	10	hp	pre_category	0.53125	0.5
170	10	hp	current_age	0.4375	0.5
171	10	hp	current_category	0.546875	0.5
172	10	dlPFC	pre_age	0.46875	0.5
173	10	dlPFC	pre_category	0.59375	0.5
174	10	dlPFC	current_age	0.53125	0.5
175	10	dlPFC	current_category	0.5	0.5
176	10	FFA/PPA	pre_age	0.40625	0.5
177	10	FFA/PPA	pre_category	0.5625	0.5
178	10	FFA/PPA	current_age	0.578125	0.5
179	10	FFA/PPA	current_category	0.8125	0.5
180	11	mofc	pre_age	0.53125	0.5
181	11	mofc	pre_category	0.578125	0.5
182	11	mofc	current_age	0.515625	0.5
183	11	mofc	current_category	0.75	0.5
184	11	lofc	pre_age	0.390625	0.5
185	11	lofc	pre_category	0.5625	0.5
186	11	lofc	current_age	0.5625	0.5
187	11	lofc	current_category	0.59375	0.5
188	11	hp	pre_age	0.484375	0.5
189	11	hp	pre_category	0.625	0.5
190	11	hp	current_age	0.4375	0.5
191	11	hp	current_category	0.59375	0.5
192	11	dlPFC	pre_age	0.46875	0.5
193	11	dlPFC	pre_category	0.59375	0.5
194	11	dlPFC	current_age	0.46875	0.5
195	11	dlPFC	current_category	0.6875	0.5
196	11	FFA/PPA	pre_age	0.484375	0.5
197	11	FFA/PPA	pre_category	0.625	0.5
198	11	FFA/PPA	current_age	0.578125	0.5
199	11	FFA/PPA	current_category	0.890625	0.5
200	12	mofc	pre_age	0.625	0.5
201	12	mofc	pre_category	0.546875	0.5
202	12	mofc	current_age	0.5	0.5
203	12	mofc	current_category	0.609375	0.5
204	12	lofc	pre_age	0.59375	0.5
205	12	lofc	pre_category	0.5625	0.5
206	12	lofc	current_age	0.5	0.5
207	12	lofc	current_category	0.671875	0.5
208	12	hp	pre_age	0.578125	0.5
209	12	hp	pre_category	0.515625	0.5
210	12	hp	current_age	0.5625	0.5
211	12	hp	current_category	0.453125	0.5
212	12	dlPFC	pre_age	0.4375	0.5
213	12	dlPFC	pre_category	0.578125	0.5
214	12	dlPFC	current_age	0.546875	0.5
215	12	dlPFC	current_category	0.609375	0.5
216	12	FFA/PPA	pre_age	0.53125	0.5
217	12	FFA/PPA	pre_category	0.703125	0.5
218	12	FFA/PPA	current_age	0.625	0.5
219	12	FFA/PPA	current_category	0.828125	0.5
220	14	mofc	pre_age	0.515625	0.5
221	14	mofc	pre_category	0.5625	0.5
222	14	mofc	current_age	0.53125	0.5
223	14	mofc	current_category	0.625	0.5
224	14	lofc	pre_age	0.53125	0.5
225	14	lofc	pre_category	0.6875	0.5
226	14	lofc	current_age	0.546875	0.5
227	14	lofc	current_category	0.671875	0.5
228	14	hp	pre_age	0.515625	0.5
229	14	hp	pre_category	0.484375	0.5
