	subject	mask_name	condition	score	chance_score
107	12	dlPFC	pre_irre_category	0.4375	0.5
108	12	FFA/PPA	pre_irre_age	0.546875	0.5
109	12	FFA/PPA	pre_irre_category	0.609375	0.5
110	14	mofc	pre_irre_age	0.609375	0.5
111	14	mofc	pre_irre_category	0.4375	0.5
112	14	lofc	pre_irre_age	0.59375	0.5
113	14	lofc	pre_irre_category	0.453125	0.5
114	14	hp	pre_irre_age	0.546875	0.5
115	14	hp	pre_irre_category	0.484375	0.5
116	14	dlPFC	pre_irre_age	0.5625	0.5
117	14	dlPFC	pre_irre_category	0.390625	0.5
118	14	FFA/PPA	pre_irre_age	0.609375	0.5
119	14	FFA/PPA	pre_irre_category	0.640625	0.5
120	15	mofc	pre_irre_age	0.453125	0.5
121	15	mofc	pre_irre_category	0.46875	0.5
122	15	lofc	pre_irre_age	0.5625	0.5
123	15	lofc	pre_irre_category	0.46875	0.5
124	15	hp	pre_irre_age	0.53125	0.5
125	15	hp	pre_irre_category	0.546875	0.5
126	15	dlPFC	pre_irre_age	0.484375	0.5
127	15	dlPFC	pre_irre_category	0.484375	0.5
128	15	FFA/PPA	pre_irre_age	0.546875	0.5
129	15	FFA/PPA	pre_irre_category	0.546875	0.5
130	16	mofc	pre_irre_age	0.515625	0.5
131	16	mofc	pre_irre_category	0.59375	0.5
132	16	lofc	pre_irre_age	0.59375	0.5
133	16	lofc	pre_irre_category	0.6875	0.5
134	16	hp	pre_irre_age	0.5	0.5
135	16	hp	pre_irre_category	0.578125	0.5
136	16	dlPFC	pre_irre_age	0.625	0.5
137	16	dlPFC	pre_irre_category	0.59375	0.5
138	16	FFA/PPA	pre_irre_age	0.46875	0.5
139	16	FFA/PPA	pre_irre_category	0.671875	0.5
140	17	mofc	pre_irre_age	0.578125	0.5
141	17	mofc	pre_irre_category	0.359375	0.5
142	17	lofc	pre_irre_age	0.578125	0.5
143	17	lofc	pre_irre_category	0.390625	0.5
144	17	hp	pre_irre_age	0.234375	0.5
145	17	hp	pre_irre_category	0.265625	0.5
146	17	dlPFC	pre_irre_age	0.484375	0.5
147	17	dlPFC	pre_irre_category	0.453125	0.5
148	17	FFA/PPA	pre_irre_age	0.578125	0.5
149	17	FFA/PPA	pre_irre_category	0.390625	0.5
150	18	mofc	pre_irre_age	0.59375	0.5
151	18	mofc	pre_irre_category	0.546875	0.5
152	18	lofc	pre_irre_age	0.625	0.5
153	18	lofc	pre_irre_category	0.546875	0.5
154	18	hp	pre_irre_age	0.5625	0.5
155	18	hp	pre_irre_category	0.484375	0.5
156	18	dlPFC	pre_irre_age	0.578125	0.5
157	18	dlPFC	pre_irre_category	0.453125	0.5
158	18	FFA/PPA	pre_irre_age	0.5625	0.5
159	18	FFA/PPA	pre_irre_category	0.5625	0.5
160	20	mofc	pre_irre_age	0.578125	0.5
161	20	mofc	pre_irre_category	0.484375	0.5
162	20	lofc	pre_irre_age	0.40625	0.5
163	20	lofc	pre_irre_category	0.59375	0.5
164	20	hp	pre_irre_age	0.6875	0.5
165	20	hp	pre_irre_category	0.546875	0.5
166	20	dlPFC	pre_irre_age	0.46875	0.5
167	20	dlPFC	pre_irre_category	0.46875	0.5
168	20	FFA/PPA	pre_irre_age	0.53125	0.5
169	20	FFA/PPA	pre_irre_category	0.5	0.5
170	21	mofc	pre_irre_age	0.515625	0.5
171	21	mofc	pre_irre_category	0.5625	0.5
172	21	lofc	pre_irre_age	0.421875	0.5
173	21	lofc	pre_irre_category	0.546875	0.5
174	21	hp	pre_irre_age	0.40625	0.5
175	21	hp	pre_irre_category	0.6875	0.5
176	21	dlPFC	pre_irre_age	0.578125	0.5
177	21	dlPFC	pre_irre_category	0.53125	0.5
178	21	FFA/PPA	pre_irre_age	0.53125	0.5
179	21	FFA/PPA	pre_irre_category	0.625	0.5
180	22	mofc	pre_irre_age	0.390625	0.5
181	22	mofc	pre_irre_category	0.578125	0.5
182	22	lofc	pre_irre_age	0.53125	0.5
183	22	lofc	pre_irre_category	0.40625	0.5
184	22	hp	pre_irre_age	0.46875	0.5
185	22	hp	pre_irre_category	0.5	0.5
186	22	dlPFC	pre_irre_age	0.515625	0.5
187	22	dlPFC	pre_irre_category	0.515625	0.5
188	22	FFA/PPA	pre_irre_age	0.5625	0.5
189	22	FFA/PPA	pre_irre_category	0.671875	0.5
190	23	mofc	pre_irre_age	0.609375	0.5
191	23	mofc	pre_irre_category	0.5625	0.5
192	23	lofc	pre_irre_age	0.359375	0.5
193	23	lofc	pre_irre_category	0.5	0.5
194	23	hp	pre_irre_age	0.5625	0.5
195	23	hp	pre_irre_category	0.546875	0.5
196	23	dlPFC	pre_irre_age	0.484375	0.5
197	23	dlPFC	pre_irre_category	0.578125	0.5
198	23	FFA/PPA	pre_irre_age	0.515625	0.5
199	23	FFA/PPA	pre_irre_category	0.59375	0.5
200	24	mofc	pre_irre_age	0.4375	0.5
201	24	mofc	pre_irre_category	0.546875	0.5
202	24	lofc	pre_irre_age	0.5	0.5
203	24	lofc	pre_irre_category	0.40625	0.5
204	24	hp	pre_irre_age	0.4375	0.5
205	24	hp	pre_irre_category	0.46875	0.5
206	24	dlPFC	pre_irre_age	0.46875	0.5
207	24	dlPFC	pre_irre_category	0.421875	0.5
208	24	FFA/PPA	pre_irre_age	0.515625	0.5
209	24	FFA/PPA	pre_irre_category	0.578125	0.5
210	25	mofc	pre_irre_age	0.5625	0.5
211	25	mofc	pre_irre_category	0.546875	0.5
212	25	lofc	pre_irre_age	0.59375	0.5
213	25	lofc	pre_irre_category	0.546875	0.5
214	25	hp	pre_irre_age	0.578125	0.5
215	25	hp	pre_irre_category	0.5	0.5
216	25	dlPFC	pre_irre_age	0.5	0.5
217	25	dlPFC	pre_irre_category	0.4375	0.5
218	25	FFA/PPA	pre_irre_age	0.515625	0.5
219	25	FFA/PPA	pre_irre_category	0.640625	0.5
220	26	mofc	pre_irre_age	0.5	0.5
221	26	mofc	pre_irre_category	0.578125	0.5
222	26	lofc	pre_irre_age	0.515625	0.5
223	26	lofc	pre_irre_category	0.53125	0.5
224	26	hp	pre_irre_age	0.546875	0.5
225	26	hp	pre_irre_category	0.421875	0.5
226	26	dlPFC	pre_irre_age	0.59375	0.5
227	26	dlPFC	pre_irre_category	0.59375	0.5
228	26	FFA/PPA	pre_irre_age	0.515625	0.5
229	26	FFA/PPA	pre_irre_category	0.625	0.5
230	27	mofc	pre_irre_age	0.28125	0.5
231	27	mofc	pre_irre_category	0.546875	0.5
232	27	lofc	pre_irre_age	0.421875	0.5
233	27	lofc	pre_irre_category	0.5625	0.5
234	27	hp	pre_irre_age	0.25	0.5
235	27	hp	pre_irre_category	0.53125	0.5
236	27	dlPFC	pre_irre_age	0.421875	0.5
237	27	dlPFC	pre_irre_category	0.53125	0.5
238	27	FFA/PPA	pre_irre_age	0.390625	0.5
239	27	FFA/PPA	pre_irre_category	0.515625	0.5
240	28	mofc	pre_irre_age	0.484375	0.5
241	28	mofc	pre_irre_category	0.453125	0.5
242	28	lofc	pre_irre_age	0.546875	0.5
243	28	lofc	pre_irre_category	0.453125	0.5
244	28	hp	pre_irre_age	0.5	0.5
245	28	hp	pre_irre_category	0.5	0.5
246	28	dlPFC	pre_irre_age	0.5	0.5
247	28	dlPFC	pre_irre_category	0.5	0.5
248	28	FFA/PPA	pre_irre_age	0.5	0.5
249	28	FFA/PPA	pre_irre_category	0.5	0.5
250	29	mofc	pre_irre_age	0.359375	0.5
251	29	mofc	pre_irre_category	0.46875	0.5
252	29	lofc	pre_irre_age	0.546875	0.5
253	29	lofc	pre_irre_category	0.578125	0.5
254	29	hp	pre_irre_age	0.46875	0.5
255	29	hp	pre_irre_category	0.53125	0.5
256	29	dlPFC	pre_irre_age	0.421875	0.5
257	29	dlPFC	pre_irre_category	0.484375	0.5
258	29	FFA/PPA	pre_irre_age	0.640625	0.5
259	29	FFA/PPA	pre_irre_category	0.609375	0.5
260	30	mofc	pre_irre_age	0.5625	0.5
261	30	mofc	pre_irre_category	0.640625	0.5
262	30	lofc	pre_irre_age	0.421875	0.5
263	30	lofc	pre_irre_category	0.5625	0.5
264	30	hp	pre_irre_age	0.53125	0.5
265	30	hp	pre_irre_category	0.640625	0.5
266	30	dlPFC	pre_irre_age	0.5625	0.5
267	30	dlPFC	pre_irre_category	0.5	0.5
268	30	FFA/PPA	pre_irre_age	0.421875	0.5
269	30	FFA/PPA	pre_irre_category	0.703125	0.5
