subject	mask_name	aa_rdm	bb_rdm	cc_rdm	dd_rdm
1	mofc	-0.005052656250000159	0.0026947656250001575	-0.003278984374999688	0.004236093749999892
1	lofc	0.003940664062499849	-0.0037887304687498832	0.013588457031250249	0.004111601562499956
1	hp	0.0009564062499998784	-0.004676953124999723	-0.0002438281249997204	0.0017645312500000065
1	dlPFC	0.000295078124999848	0.0009497265625001555	0.004640351562500287	-0.00032679687500004884
1	FFA-PPA	-0.0005478906250001268	0.00018605468750022142	-0.0023833203124997565	-0.012583515625000069
2	mofc	0.012553124999999912	0.005020937500000135	-0.002692812499999739	-0.013828749999999945
2	lofc	0.010516757812499913	0.008961191406250166	-0.000492871093749736	-0.010788554687500063
2	hp	0.021610390624999903	0.0173614453125003	0.004059570312500298	0.00815039062499992
2	dlPFC	0.0555842578124999	0.007849941406250262	-0.008629121093749761	0.01178707031249987
2	FFA-PPA	0.021793124999999903	0.010573437500000123	0.005850312500000249	-0.004983750000000092
3	mofc	0.02052964843749992	0.003543417968750226	0.008828730468750318	0.021189335937499942
3	lofc	0.00983238281249988	0.012791191406250284	0.007446503906250308	0.008805820312499824
3	hp	0.018364687499999918	0.004380156250000149	0.006170781250000305	0.014942812499999958
3	dlPFC	0.005998945312499771	0.023410722656250257	0.0045654101562503276	0.01077613281249995
3	FFA-PPA	-0.0017786328125001319	0.018427558593750205	0.016910371093750258	-0.007073320312500075
4	mofc	0.014466523437499896	0.03249904296875025	-0.002825019531249669	0.00035808593749989126
4	lofc	0.004625039062499833	0.04367048828125026	-0.0012291992187496575	-0.0035052734375000394
4	hp	0.0174069921874999	0.0026170898437502185	0.010884277343750245	-0.00026082031250010407
4	dlPFC	-0.003302187500000199	0.038832656250000194	-0.0038723437499996183	0.006648437499999826
4	FFA-PPA	0.001028710937499816	0.011618105468750271	-0.0012634570312496738	0.002837148437499798
5	mofc	0.021413398437499884	-0.0064287695312498574	-0.0037034570312497045	0.020046210937499892
5	lofc	-0.003900078125000178	0.010585117187500277	-0.00312175781249965	0.0075111718749998335
5	hp	0.008716249999999912	0.001977031250000108	0.009778906250000254	-0.006702500000000167
5	dlPFC	0.016884453124999893	0.017056601562500266	-0.0023240234374996838	0.0075457031249998585
5	FFA-PPA	0.002281249999999877	0.007535000000000264	-0.002801874999999652	0.013475624999999797
7	mofc	0.03370519531249999	0.003594160156250255	-0.007433652343749738	0.004914257812499961
7	lofc	0.04490367187499981	0.014877929687500221	-0.014707695312499706	0.018842421874999904
7	hp	0.008715468749999847	-0.0006500781249998075	-0.0026575781249997335	-0.0019214062500000073
7	dlPFC	0.059203632812499955	0.02882306640625014	-0.004368496093749705	0.026710195312499907
7	FFA-PPA	0.010463476562499893	-0.0007470117187498362	-0.004851074218749739	-0.0012580859375000697
8	mofc	-0.002339257812500127	0.0207634960937502	0.0007881835937502413	-0.018347695312500106
8	lofc	0.04538734374999989	0.0022924218750001515	-0.01023945312499977	0.003391718749999967
8	hp	0.001752031249999824	8.132812500034198e-05	-0.007296796874999654	0.010237031249999876
8	dlPFC	0.06135289062499988	-0.0013757421874998205	-0.03436824218749977	0.013544765624999983
